"","site_id","date","filename","species","begin_clock_time_hms","nauticalDawn","sunrise","peak_freq","vert_strat","relative_onset_times","scientific_name","common_name","ebird_residuals","foraging_habit","territoriality","mass","trophic_niche","season"
"787","INBS04R",2020-05-08,"20200508_055500.WAV","GRFL",05:57:34,05:15:40,2020-05-08 06:03:38,3375,6,41.9,"Chrysocolaptes guttacristatus","Greater Flameback",-0.0911206801501304,"CAN","Highly territorial",166,"Invertivore","summer"
"788","UPMAP5B",2020-03-28,"20200328_055500.WAV","YBBU",05:57:34,05:37:29,2020-03-28 06:23:01,2531.25,7,20.0833333333333,"Iole indica","Yellow-browed Bulbul",0.107121686439749,"MID","Weakly territorial",30.6,"Omnivore","summer"
"789","HP36P1B",2020-03-25,"20200325_055500.WAV","BCFU",05:57:35,05:38:55,2020-03-25 06:24:24,2906.25,8,18.6666666666667,"Alcippe poioicephala","Brown-cheeked Fulvetta",-0.0355518522218901,"MID","Highly territorial",20.7,"Invertivore","summer"
"790","PANMP3B",2020-03-20,"20200320_055500.WAV","GRTD",05:57:36,05:42:26,2020-03-20 06:27:50,2250,6,15.1666666666667,"Dicrurus paradiseus","Greater Racket-tailed Drongo",0.126821091981418,"CAN","Highly territorial",85.8,"Invertivore","summer"
"791","SEL207R",2020-03-12,"20200312_055500.WAV","GRJU",05:57:36,05:46:55,2020-03-12 06:32:22,1125,4,10.6833333333333,"Gallus sonneratii","Gray Junglefowl",-0.227564125346617,"GRD","Weakly territorial",840.8,"Omnivore","summer"
"792","OLV110R",2020-05-05,"20200505_055500.WAV","NIFP",05:57:37,05:16:41,2020-05-05 06:04:25,7687.5,8,40.9333333333333,"Dicaeum concolor","Nilgiri Flowerpecker",-0.206762406124997,"CAN","Non-territorial",6.2,"Omnivore","summer"
"793","OLCAP3B",2020-05-03,"20200503_055500.WAV","COIO",05:57:38,05:17:16,2020-05-03 06:04:51,2718.75,7,40.3666666666667,"Aegithina tiphia","Common Iora",-0.0317832809545381,"MID","Weakly territorial",12,"Invertivore","summer"
"794","OLV208U",2020-03-25,"20200325_055500.WAV","IWEY",05:57:38,05:39:10,2020-03-25 06:24:38,2718.75,5,18.4666666666667,"Zosterops palpebrosus","Indian White-eye",-0.195169684868773,"MID","Weakly territorial",8.6,"Omnivore","summer"
"795","THEN10U",2020-03-26,"20200326_055500.WAV","GRTD",05:57:38,05:38:32,2020-03-26 06:24:02,2531.25,5,19.1,"Dicrurus paradiseus","Greater Racket-tailed Drongo",0.126821091981418,"CAN","Highly territorial",85.8,"Invertivore","summer"
"796","THEN10U",2020-03-20,"20200320_055500.WAV","WBWO",05:57:40,05:42:14,2020-03-20 06:27:39,3093.75,5,15.4333333333333,"Dryocopus javensis","White-bellied Woodpecker",0.0655933263664136,"CAN","Highly territorial",271.4,"Invertivore","summer"
"797","HP36P1B",2020-03-25,"20200325_055500.WAV","OHTH",05:57:41,05:38:55,2020-03-25 06:24:24,2343.75,8,18.7666666666667,"Geokichla citrina","Orange-headed Thrush",0.11323128969935,"GRD","Weakly territorial",53.3,"Omnivore","summer"
"798","HP37P2B",2020-03-14,"20200314_055500.WAV","MWTH",05:57:41,05:45:33,2020-03-14 06:30:59,2062.5,8,12.1333333333333,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"799","HP36P1B",2020-03-25,"20200325_055500.WAV","YBBU",05:57:42,05:38:55,2020-03-25 06:24:24,2343.75,8,18.7833333333333,"Iole indica","Yellow-browed Bulbul",0.107121686439749,"MID","Weakly territorial",30.6,"Omnivore","summer"
"800","INBS04U",2020-03-24,"20200324_055500.WAV","COTA",05:57:46,05:39:50,2020-03-24 06:25:18,4125,4,17.9333333333333,"Orthotomus sutorius","Common Tailorbird",-0.0612010871590927,"UND","Highly territorial",7.5,"Invertivore","summer"
"801","SEL107U",2020-03-24,"20200324_055500.WAV","AFBL",05:57:48,05:39:48,2020-03-24 06:25:16,2718.75,5,18,"Irena puella","Asian Fairy-bluebird",0.0829870439781862,"CAN","Weakly territorial",64.9,"Frugivore","summer"
"802","VAR310R",2020-05-05,"20200505_055500.WAV","GRJU",05:57:51,05:16:42,2020-05-05 06:04:26,1406.25,6,41.15,"Gallus sonneratii","Gray Junglefowl",-0.227564125346617,"GRD","Weakly territorial",840.8,"Omnivore","summer"
"803","VAR310U",2020-05-05,"20200505_055500.WAV","COIO",05:57:51,05:16:44,2020-05-05 06:04:29,2531.25,3,41.1166666666667,"Aegithina tiphia","Common Iora",-0.0317832809545381,"MID","Weakly territorial",12,"Invertivore","summer"
"804","THEN10U",2020-03-26,"20200326_055500.WAV","WBWO",05:57:52,05:38:32,2020-03-26 06:24:02,3093.75,5,19.3333333333333,"Dryocopus javensis","White-bellied Woodpecker",0.0655933263664136,"CAN","Highly territorial",271.4,"Invertivore","summer"
"805","PANMP1B",2020-03-17,"20200317_055500.WAV","GRTD",05:57:53,05:44:13,2020-03-17 06:29:37,1593.75,5,13.6666666666667,"Dicrurus paradiseus","Greater Racket-tailed Drongo",0.126821091981418,"CAN","Highly territorial",85.8,"Invertivore","summer"
"806","SEL107U",2020-03-24,"20200324_055500.WAV","NIFP",05:57:53,05:39:48,2020-03-24 06:25:16,4406.25,5,18.0833333333333,"Dicaeum concolor","Nilgiri Flowerpecker",-0.206762406124997,"CAN","Non-territorial",6.2,"Omnivore","summer"
"807","UPMAP6B",2020-03-28,"20200328_055500.WAV","AFBL",05:57:54,05:37:29,2020-03-28 06:23:01,1687.5,6,20.4166666666667,"Irena puella","Asian Fairy-bluebird",0.0829870439781862,"CAN","Weakly territorial",64.9,"Frugivore","summer"
"808","OLV110R",2020-03-20,"20200320_055500.WAV","CHCU",05:57:55,05:42:15,2020-03-20 06:27:40,2250,8,15.6666666666667,"Hierococcyx varius","Common Hawk-Cuckoo",0.126382036256765,"CAN","Non-territorial",103,"Invertivore","summer"
"809","OLV110U",2020-05-05,"20200505_055500.WAV","NIFP",05:57:55,05:16:40,2020-05-05 06:04:24,6000,4,41.25,"Dicaeum concolor","Nilgiri Flowerpecker",-0.206762406124997,"CAN","Non-territorial",6.2,"Omnivore","summer"
"810","SEL207U",2020-03-07,"20200307_055500.WAV","STBU",05:57:55,05:49:36,2020-03-07 06:35:07,3468.75,5,8.31666666666667,"Hypsipetes ganeesa","Square-tailed Bulbul",-0.0457137112381185,"CAN","Weakly territorial",51.8,"Frugivore","summer"
"811","SEL107U",2020-03-24,"20200324_055500.WAV","SHMY",05:57:58,05:39:48,2020-03-24 06:25:16,4406.25,5,18.1666666666667,"Gracula indica","Southern Hill Myna",-0.0602970432454826,"CAN","Non-territorial",192,"Frugivore","summer"
"812","PANMP2B",2020-03-21,"20200321_055500.WAV","WBBF",05:57:59,05:41:50,2020-03-21 06:27:15,2812.5,6,16.15,"Cyornis pallidipes","White-bellied Blue Flycatcher",0.127786668799846,"UND","Weakly territorial",19,"Invertivore","summer"
"813","HP36P4B",2020-03-25,"20200325_055500.WAV","SHMY",05:58:01,05:38:56,2020-03-25 06:24:25,3468.75,8,19.0833333333333,"Gracula indica","Southern Hill Myna",-0.0602970432454826,"CAN","Non-territorial",192,"Frugivore","summer"
"814","UPMAP5B",2020-03-25,"20200325_055500.WAV","IWEY",05:58:03,05:39:21,2020-03-25 06:24:50,3843.75,7,18.7,"Zosterops palpebrosus","Indian White-eye",-0.195169684868773,"MID","Weakly territorial",8.6,"Omnivore","summer"
"815","VAR310U",2020-03-12,"20200312_055500.WAV","MWTH",05:58:03,05:46:59,2020-03-12 06:32:25,1125,3,11.0666666666667,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"816","STIN02U",2020-05-09,"20200509_055500.WAV","COTA",05:58:04,05:15:18,2020-05-09 06:03:21,2906.25,4,42.7666666666667,"Orthotomus sutorius","Common Tailorbird",-0.0612010871590927,"UND","Highly territorial",7.5,"Invertivore","summer"
"817","HP37P1B",2020-03-12,"20200312_055500.WAV","GHCF",05:58:08,05:46:41,2020-03-12 06:32:08,3843.75,7,11.45,"Culicicapa ceylonensis","Gray-headed Canary-Flycatcher",0.138023294219758,"MID","Weakly territorial",7.7,"Invertivore","summer"
"818","PANMP2B",2020-03-14,"20200314_055500.WAV","SPPI",05:58:08,05:45:58,2020-03-14 06:31:23,8250,6,12.1666666666667,"Picumnus innominatus","Speckled Piculet",-0.0513761012893874,"CAN","Highly territorial",10.2,"Invertivore","summer"
